순위,도서명,상세링크,저자,출판사,출판일,판매가,정가,판매지수,평점,리뷰수,책소개
97,AI 자율학습 AI 에이전트 개발 입문,https://www.yes24.com/product/goods/192583611,박경민,길벗,2026년 07월,"28,800","32,000","1,338",9.5,4,"생성형 AI의 발전으로 AI 에이전트는 새로운 소프트웨어 개발 방식으로 주목받고 있습니다. 이제 AI는 정보를 검색하고, 외부 도구를 활용하며, 여러 단계를 스스로 계획하고 실행하는 방향으로 발전하고 있습니다."
98,아키텍처는 진화한다,https://www.yes24.com/product/goods/192470678,공상휘,인사이트(insight),2026년 07월,"25,200","28,000","1,854",,,"공들여 짠 코드는 잘 돌아간다. 그러나 성능 이슈 회의나 클라우드 전환 논의 자리에서는 코드가 돌아가는 구조를 설명하려니 쉽게 입이 떨어지지 않는다. 내가 만든 모듈이 시스템 어디에 놓였는지, 데이터가 어느 계층을 거쳐 사용자에게 닿는지, 머릿속에 그려지지 않기 때문이다."
99,AI 냄새 지우기,https://www.yes24.com/product/goods/191485571,벤진 리드,자이언톡,2026년 06월,"17,820","19,800","2,151",10.0,14,"『AI 냄새 지우기』는 생성형 AI 시대에 좋은 결과물이 어디에서 나오는가를 묻는 책이다. 오늘날 많은 사람이 AI로 보고서, 기획안, 글쓰기, 학습 자료를 빠르게 만들지만, 그 결과물에는 종종 '누구의 생각인지 알 수 없는' 평면성과 빈틈이 남는다. 이 책은 그 흔적을 'AI 냄새'라고 부르며, 그 원인이 문체가 아니라 인간의 문제의식, 우선순위, 판단, 책임이 빠진 데 있다고 설명한다."
100,생존을 위한 최소한의 AI 교양,https://www.yes24.com/product/goods/190419762,조남호,골든래빗,2026년 06월,"22,500","25,000","4,056",9.9,23,"★ [생존] AI 시대, 남들 따라 챗GPT만 써본 당신이 가장 먼저 마주해야 할 현실"
101,이게 되네? 클로드 MCP 커넥터 미친 활용법 31제,https://www.yes24.com/product/goods/190210781,"박현규, 김성경",골든래빗,2026년 06월,"21,600","24,000","2,280",8.8,5,"AI 활용의 기준은 이제 ‘대답을 잘 얻는 법’에서 ‘일을 실제로 끝내는 법’으로 이동하고 있습니다. 클로드와 MCP 커넥터를 연결하면 AI는 더 이상 채팅창 안에서만 답하는 도구가 아닙니다. 노션에 자료를 정리하고, 옵시디언에 글을 저장하고, 엑셀 대시보드를 만들고, 구글 드라이브의 문서를 살펴보고, 디자인 도구와 공공 데이터를 활용해 결과물을 만들어내는 업무 파트너가 됩니다."
102,베테랑 AI 전문가가 만든 가장 쉬운 제미나이 활용! Gemini(제미나이)로 무엇이든 만들 수 있다 (AI 비서 영상 만들기 · 유튜브 숏폼),https://www.yes24.com/product/goods/189629427,"송상미, 윤소영, 강은정",광문각출판미디어,2026년 05월,"19,000","19,000","2,583",10.0,46,"강의 현장에서 가장 많이 듣는 말이 있다. “도대체 프롬프트를 어떻게 써야 하나요?” 분명 AI를 쓰고 있는데 결과물이 영 만족스럽지 않다거나, 남들이 만들어낸 결과물을 보면 묘한 격차가 느껴진다곤 한다. AI 활용의 핵심은 원하는 것을 정확히 언어로 표현하는 능력에 있다. 이 책은 AI의 잠재력을 끌어내는 프롬프트 실전 경쟁력을 키워주기 위한 책이다."
103,수업에 바로 쓰는 일잘러 선생님의 캔바 Canva 활용법,https://www.yes24.com/product/goods/189128697,황은지,제이펍,2026년 05월,"19,800","22,000","5,106",9.9,34,"캔바를 안다고 해서 수업이 저절로 달라지지는 않는다. 하지만 이 책은 다르다. 캔바라는 도구를 교사의 언어로 풀어내, 책을 펼치는 순간부터 교실의 현장에 맞는 해답을 찾도록 돕는다. 이 책은 캔바를 이용해 우리 반만의 디지털 수업 환경을 세팅하고, 꼭 필요한 행정 자료 제작부터 프로젝트 수업 설계, 반짝이는 행사 자료를 만드는 노하우까지 차근차근 안내한다. 에듀테크가 낯선 교사에게는 친절한 안내서가 되고, 수업 혁신을 고민하는 교사에게는 든든한 치트키가 되어 줄 것이다."
104,승인율 99.9% 움직이는 이모티콘 만들기 with 프로크리에이트,https://www.yes24.com/product/goods/188882750,씨엠제이(최민정),한빛미디어,2026년 05월,"16,200","18,000","2,904",9.9,24,"카카오 이모티콘 시장에서 가장 높은 수익을 내는 것은 단연 움직이는 이모티콘이다. 멈춰있는 이모티콘보다 눈길을 끌고, 한 번 사면 계속 쓰게 되는 중독성이 있다. 하지만 막상 도전하려면 막막합니다. 프레임은 몇 장이어야 하는지, 속도는 어떻게 조절하는지, 어떤 모션이 심사를 통과하는지 - 알려주는 곳이 없었다. 이 책의 저자 씨엠제이(최민정)는 국내 개인 작가 중 가장 많은 이모티콘을 출시한 '국내 최다 이모티콘 승인 작가'다. 350개가 넘는 이모티콘 중 움직이는 이모티콘만으로 카카오톡 10대·20대 인기순위 1위를 달성한 씨엠제이 작가가, 손 흔들기부터 팝업 등장, 낙하, 회전, 화면 밖 이동까지 10가지 핵심 모션의 제작 비법을 처음으로 낱낱이 공개한다."
105,"서논술형 평가, AI로 깊이를 더하다",https://www.yes24.com/product/goods/167719977,"지미정, 장희영, 권의선, 이진원, 김수경, 정보 더 보기/감추기, 지미정, 장희영, 권의선, 이진원, 김수경, 박범진",앤써북,2025년 12월,"22,950","25,500","6,855",10.0,13,"""평가만 바꿔서는 아무것도 바뀌지 않는다."" 이 문장은 이 책 전체의 문제의식과 방향을 정확히 보여준다. AI가 지식 생산과 문제 해결을 지원하는 시대, 학생이 어떻게 생각하고 탐구하며 문제를 해결하는지 평가하는 일은 더 이상 선택이 아니다. 그러나 서논술형 평가는 여전히 교사에게 가장 어려운 영역이다. 문항 설계, 루브릭 작성, 채점의 공정성, 피드백 제공 등 모든 과정이 교사의 시간과 전문성을 요구하기 때문이다."
106,밑바닥부터 만들면서 배우는 LLM,https://www.yes24.com/product/goods/154099735,"세바스찬 라시카, 박해선",길벗,2025년 09월,"36,000","40,000","12,000",9.6,27,"어려운 개념은 그림으로 풀고, LLM은 직접 만들면서 배운다. 이 책은 대규모 언어 모델의 구조와 동작 원리를 처음부터 끝까지 직접 구현하며 학습할 수 있는 실전형 LLM 입문서다. 단순히 개념을 설명하는 데 그치지 않고 텍스트 전처리와 토큰화, 임베딩 과정을 출발점으로 삼아, 셀프 어텐션과 멀티헤드 어텐션, 트랜스포머 블록을 차근차근 구축해 나간다. 이어서 이러한 구성 요소들을 통합하여 실제 GPT 모델을 완성하고, 모델의 파라미터 수와 훈련 안정화 기법, 활성화 함수와 정규화 방법 등 최신 아키텍처 설계의 핵심 요소들을 직접 다뤄본다."
107,회사에서 바로 통하는 실무 엑셀 파워포인트 워드&한글,https://www.yes24.com/product/goods/151066074,"전미진, 이화진, 신면철",한빛미디어,2025년 08월,"24,300","27,000","14,850",9.6,43,"이번 개정판은 더 빠르고 직관적으로 학습할 수 있도록 실습 과정을 간편하게 재구성했다.버전에 상관없이 실무를 하는 데 꼭 필요한 엑셀, 파워포인트, 워드, 한글의 핵심기능을 한 권에 담았다. 실무 예제를 따라 하면서 오피스 프로그램의 기초부터 빠르고 정확하게 일하는 데 필요한 업무 활용 기술까지 한 번에 익힌다."
108,질문으로 답을 찾는 인공지능 윤리 수업,https://www.yes24.com/product/goods/144979816,박형빈,한언,2025년 04월,"18,900","21,000","8,043",9.8,11,"인공지능이 가져올 미래의 세상을 준비하며, 우리는 어떤 가치와 철학을 중심으로 삼아야 할까? 이 책은 그 답을 찾기 위한 가이드 역할을 충실히 해낸다. 국내 최고의 AI윤리교육 전문가이며 서울교육대학교 윤리교육과 교수인 저자는 인공지능 시대의 주역으로 성장할 청소년이라면 반드시 알아야 할 인공지능의 윤리적 문제와 가치관을 다룬다. 누구나 공감할 만한 스물한 편의 흥미진진한 에피스드를 통해 자율주행차의 딜레마, 딥페이크, 인공지능과 일자리, 인공지능의 책임과 투명성, 창의성과 저작권, 인공지능과 인간의 공존 등 인공지능이 초래하는 다양한 윤리적 문제 및 사회적 영향을 짚고 있다."
109,LangGraph로 만드는 AI 에이전트 서비스,https://www.yes24.com/product/goods/188880177,"전상우, 정영훈, 서평원, 이정훈, 이민혁",성안당,2026년 05월,"26,100","29,000","1,668",9.8,9,"우리가 AI로 많이 알고 있는 프롬프트가 요리사에게 주는 ‘레시피’라면 AI 에이전트는 주방 전체를 책임지는 ‘요리사’이다. 이제 AI 에이전트, 자율적 지능에 관심이 옮겨가고 있다."
110,7가지 생성 AI로 영상 제작 & 편집하기 with 챗GPT & 미드저니 & 런웨이(개정판),https://www.yes24.com/product/goods/191321951,홍순성,한빛미디어,2026년 06월,"22,500","25,000","1,944",9.8,10,"이 책은 시나리오 작성부터 컷 영상과 배경 음악을 만들고 편집하는 등 영상을 제작하는 모든 단계에 7가지 주요 생성 AI를 활용하는 과정을 다룹니다. 시나리오 및 대본 작성에는 챗GPT(또는 클로드), 이미지는 GPT-Image와 미드저니, 영상은 런웨이, 사운드 제작에는 Suno와 일레븐랩스 그리고 영상 편집에는 캡컷을 다룹니다. 이 여정을 따라가다 보면 영상 제작이 낯선 사람들은 영상 한 편이 완성되는 모든 과정을 습득할 수 있고, AI가 낯선 사람들은 생성 AI의 프롬프트를 작성하는 요령을 익히고 AI의 역할을 이해하게 될 것입니다."
111,하루 2시간 경력단절 엄마의 블로그로 시작하는 온라인 브랜딩,https://www.yes24.com/product/goods/193667871,그릿지선(이지선),호호북앤드림,2026년 07월,"17,820","19,800",540,,,하루 2시간이면 충분합니다.
112,n8n이 다 해줌,https://www.yes24.com/product/goods/185269651,"이인영, 임정",한빛미디어,2026년 04월,"25,200","28,000","2,316",9.9,113,"단순히 AI 서비스와 대화하는 것만으로는 부족하다. 진짜 생산성 혁신은 내가 잠든 사이에도 AI가 뉴스를 정리하고, 보고서를 쓰고, 데이터를 분류하는 ‘자동화 워크플로우’에서 시작된다. 이 책은 코딩을 모르는 비개발자도 드래그 앤 드롭만으로 복잡한 업무를 자동화할 수 있게 돕는 가장 강력한 도구, n8n의 모든 것을 담았다."
113,이게 되네? 오픈클로 미친 활용법 50제,https://www.yes24.com/product/goods/185166276,한준구,골든래빗,2026년 05월,"21,600","24,000","7,608",9.8,9,"오픈클로(OpenClaw)는 내 컴퓨터에서 돌아가는 오픈소스 AI 개인 비서이다. 챗GPT와 달리 실제로 일을 하는 AI이다. 여느 자동화 프로그램과 달리 규칙이 아닌 AI의 판단으로 움직이며, 시리와 달리 원하는 대로 커스터마이징할 수 있다. 더욱 놀라운 건 이 모든 것이 여러분이 평소에 쓰던 챗봇 구독 요금제만 있으면 추가 비용 없이 가능하다는 것이다. 모든 것은 스마트폰에서 일상의 말로 지시한다. 개발 지식이나 AI 활용 실력 같은 건 필요 없다. 노트북을 두고 왔는데 급한 일이 생겼다면? 낭비되는 출퇴근 시간이 아깝다면? 반복 업무가 너무 많아서 힘들다면? 지금 당장 오픈클로를 시작하자. 코난쌤이 알려주는 세상에서 가장 쉽고 유용한 오픈클로를 안전하게 만나보자."
114,수업과 업무에 바로 적용하는 생성형 AI 활용 58제,https://www.yes24.com/product/goods/184269953,임세범,앤써북,2026년 04월,"16,920","18,800","3,687",9.7,7,"『생성형 AI 활용 58제』는 2022 개정 교육과정을 반영하여, 교사가 교실 현장에서 겪는 수업 준비와 행정 업무의 부담을 획기적으로 줄여줄 58가지 실전 예제를 담고 있다. 책은 수업 준비부터 평가, 학급 운영, 생활기록부 작성, 행정 업무 자동화, 교육용 AI 챗봇 설계까지 교사의 실제 업무와 수업에 바로 적용할 수 있는 생성형 AI 활용 방법을 바이브코딩 사례를 포함해 58개의 실전 예제로 따라하기 쉽게 정리한 책이다."
115,대체불가 AI 영상 제작 완전정복,https://www.yes24.com/product/goods/165239801,이용태,책바세,2025년 12월,"26,100","29,000","9,702",9.7,14,"""실무형 예제 중심으로 배우는 ""진짜"" AI 영상 제작"""
116,핸즈온 LLM,https://www.yes24.com/product/goods/146828240,"제이 알아마르, 마르턴 흐루턴도르스트, 박해선",한빛미디어,2025년 06월,"34,200","38,000","6,210",9.8,25,"『핸즈온 LLM』은 LLM을 쓰는 것을 넘어, 이해하고 구현하는 것까지 나아가고 싶은 이를 위한 실전 가이드이다. 직관적인 시각 자료와 예제를 제공해 ‘왜 이런 구조가 필요한지’ 이해하고 실용적인 도구와 개념을 익힐 수 있도록 구성했다. 사전 훈련된 대규모 언어 모델을 사용하는 방법과 시맨틱 검색 시스템을 만드는 방법, 텍스트 분류, 검색, 클러스터링을 위해 사전 훈련된 모델과 각종 라이브러리를 사용하는 방법을 배운다."
117,Do it! C++ 완전 정복,https://www.yes24.com/product/goods/125606390,"조규남, 문종채",이지스퍼블리싱,2024년 03월,"28,800","32,000","4,326",9.2,24,"현업에서 오랫동안 C++를 다뤄 온 전문가가 객체지향 프로그래밍을 배우는 독자에게 그 개념부터 활용법을 친절하게 안내한다. C++ 언어의 기본 문법을 그림과 비유로 쉽게 풀어서 설명하고, 오늘도 C++로 프로그래밍하는 저자의 경험을 바탕으로 객체지향 프로그래밍이 실무에서 어떻게 활용되는지를 알려 준다. 추상화, 캡슐화, 다형성, 상속성 등 객체지향 프로그래밍의 4가지 특징을 소스 코드에 어떻게 적용하는지 자세히 설명하고, 수 백 줄에 걸쳐 게임 속 몬스터를 구현해 보면서 SOLID 설계 원칙까지 적용된 소스 코드를 작성해 본다. 중간중간 퀴즈를 풀며 주요 개념을 확인하고 단원을 마친 후에는 되새김 문제를 풀며 실력을 다질 수 있다. 특히 되새김 문제는 코딩 테스트를 준비하는 독자도 고려해 난도를 조절했으며 양질의 해답 코드와 해설을 별도로 제공한다."
118,핸즈온 머신러닝,https://www.yes24.com/product/goods/122338517,"오렐리앙 제롱, 박해선",한빛미디어,2023년 09월,"54,000","60,000","4,584",9.7,39,"** 독자의 편의를 고려한 분권(1권, 2권)"
119,혼자 공부하는 SQL,https://www.yes24.com/product/goods/104661489,우재남,한빛미디어,2021년 11월,"21,600","24,000","5,028",9.7,52,"이 책은 아무런 사전 지식 없는 입문자가 ‘꼭 필요한 내용을 제대로’ 학습할 수 있도록 구성했다. ‘무엇을’, ‘어떻게’ 학습해야 할지조차 모르는 입문자의 막연한 마음을 살펴, 과외 선생님이 알려주듯 친절하게, 그러나 핵심적인 내용만 콕콕 집어준다. 책의 첫 페이지를 펼쳐서 마지막 페이지를 덮을 때까지, 혼자서도 충분히 SQL을 배울 수 있다는 자신감과 확신이 계속될 것이다!"
120,미래를 바꾼 아홉 가지 알고리즘,https://www.yes24.com/product/goods/8921236,"존 맥코믹, 민병교",에이콘출판사,2013년 05월,"16,920","18,800","3,648",9.1,48,"오늘날 우리는 궁금한 것이 있으면 인터넷 검색엔진에 검색어를 입력하고, 필요한 물건이 있으면 인터넷 쇼핑몰에서 구입한다. 일상생활의 모든 활동을 컴퓨터로 하고 있다고 해도 과언이 아니다. 그렇다면 우리가 컴퓨터를 사용할 때, 컴퓨터 안에서는 무슨 일이 일어나고 있을까? 존 맥코믹은 이를 가능케 한 아홉 가지 위대한 알고리즘 이면의 기본적 아이디어를 다양한 비유와 예를 활용해 쉽고 정확하게 설명한다. 독자들은 이 아홉 가지 알고리즘에 관한 설명에서 검색엔진, 데이터 압축, 암호화, 오류 정정, 패턴 인식 등 우리가 매일 이용하는 컴퓨터 기술의 이론적 아이디어를 흥미진진하게 이해할 수 있다."
121,초간단 캡컷 AI 영상 편집,https://www.yes24.com/product/goods/193583379,이용태,책바세,2026년 08월,"19,800","22,000",360,,,정말 쉬운 동영상 편집 프로그램을 사용하고 싶을 때
122,교사의 시간 AI로 다시 쓰다,https://www.yes24.com/product/goods/193184112,"황영준, 박성완, 양기송",에듀윌,2026년 07월,"12,600","14,000",672,,,"교사의 하루, 수업보다 수업 밖 일이 더 많습니다. 세특, 행특, 가정통신문, 첨삭, 행정 문서… 이 책과 함께라면 그 산더미 같은 업무시간을 획기적으로 줄일 수 있습니다. 도구는 구글 Gemini. 목적은 단 하나! 절약된 시간을 다시 학생들에게. 판단을 내리고 온기를 불어넣는 건 계속해 교사의 몫이지만, 이제 AI가 똘똘한 나만의 비서가 되어줍니다. 교사가 바뀌면 교실이 바뀝니다. 그리고, 그 변화는 이 책과 함께 바로 ‘내 교실’에서부터 시작됩니다."
123,요즘 바이브 코딩 수익화 앱 만들기 with 커서 AI 마켓 등록·인앱 결제·구독 상품,https://www.yes24.com/product/goods/193084292,시몬,골든래빗,2026년 07월,"30,600","34,000",696,,,"AI로 앱 화면을 뚝딱 만드는 시대는 이미 왔습니다. 문제는 그다음입니다. 그럴듯한 결과물은 만들었지만 막상 앱을 세상에 내보내려고 하면, 무엇을 먼저 확인하고 어떤 설정을 해야 하는지 몰라 다시 손이 멈춥니다. 앱은 화면 몇 개로 끝나는 결과물이 아닙니다. 어디에서든 쓸 수 있게 데이터베이스를 연결하고, 스토어 심사를 통과하고, 애드몹으로 광고를 붙이고, 결제까지 이어져야 비로소 서비스가 됩니다. 이 책은 바이브 코딩이 가장 자주 멈추는 “만든 다음”의 막막함을 정면으로 뚫어주며, 얌전히 커서 사용법만 설명하고 끝내지 않습니다. 저자가 실제 앱을 출시하며 마주한 선택과 시행착오를 따라가며, 초보자가 어디서 헷갈리고 무엇을 놓치기 쉬운지 하나씩 짚어줍니다. 단순히 기능을 붙이는 순서를 보여주는 것이 아니라, 각 단계에서 확인해야 할 기준과 다음으로 넘어가기 위한 체크 포인트를 함께 제시합니다. 바이브 코딩으로 실체화한 아이디어를 실제 사용자에게 닿는 앱으로 완성하고 싶은 독자에게, 이 책은 가장 현실적인 앱 출시 안내서가 될 것입니다."
124,프로덕트 디자이너로 살아남기,https://www.yes24.com/product/goods/189287920,강영화,이오스튜디오,2026년 05월,"17,100","19,000","1,788",10.0,2,"『프로덕트 디자이너로 살아남기』는 인공지능이 일상이 된 2026년, 디자인의 정의가 ‘예쁜 것을 만드는 수준’을 넘어 ‘프로덕트 그 자체’로 확장된 시대적 흐름을 담고 있습니다. 생성형 AI와 ‘바이브 코딩’의 등장으로 디자이너와 엔지니어, 기획자의 업무 경계가 희미해지는 가운데, 저자는 이제 디자이너가 “무엇을 잘 그리는가”보다 “어떻게 비즈니스에 기여하는가”를 먼저 고민해야 한다고 역설합니다. 단순한 화면 구현 기술자를 넘어 제품의 방향을 결정하는 핵심 인재로 거듭나기 위한 디자인의 본질과 새로운 협업 방식을 제안합니다."
125,"누구나 코딩하는 시대, 1일 10분 바이브 코딩",https://www.yes24.com/product/goods/187954810,김영욱,한빛미디어,2026년 04월,"19,800","22,000","1,944",10.0,16,"이 책은 코드 한 줄 몰라도, 유료 구독 없이도 바이브 코딩을 경험할 수 있도록 안내하는 입문서다. 기획부터 배포까지 전 과정을 하루 10분씩 차근차근 따라가며 완성할 수 있도록 구성했다. 날씨 알림, 회의록 자동 작성 등 일상에서 바로 활용할 수 있는 8가지 프로젝트를 AI와 대화하듯 만들어본다. 완성한 앱은 스트림릿으로 웹에 배포하고 뉴스레터 자동 발행 시스템까지 구축해본다. 마지막 장에서는 단순히 예제를 따라 만드는 데서 그치지 않도록 다음에 무엇을 만들지 고민하는 독자를 위한 10가지 아이디어를 제안한다. 이 책에서 익힌 감각을 바탕으로 나만의 아이디어를 현실로 구현할 때 비로소 진정한 바이브 코더로 거듭날 것이다. 책이 끝나는 곳에서 여러분만의 코딩을 시작하길 바란다."
126,요즘 바이브 코딩 커서 X 클로드 코드 실전 외주 돈 벌기,https://www.yes24.com/product/goods/187024885,불혹코딩,골든래빗,2026년 05월,"23,400","26,000","3,816",9.9,15,
127,딸깍! 바이브 코딩 by 안티그래비티,https://www.yes24.com/product/goods/184675866,반병현,생능북스,2026년 04월,"22,500","25,000","3,528",9.8,30,"코딩의 ‘ㅋ’자도 모르는 비전공자가 AI의 힘을 빌려 단숨에 개발자의 영역에 진입할 수 있는 시대가 열렸습니다. 이 책은 복잡한 문법 공부 대신, ‘바이브(Vibe)’와 ‘직관’으로 소프트웨어를 만드는 새로운 패러다임을 제시합니다. 툴 설치부터 환경 설정, 그리고 스마트 계산기 같은 기초 예제부터 PDF 요약 AI, 실시간 주식 투자 도우미 등 45가지의 실용 레시피를 따라 하기만 하면 누구나 자신만의 웹과 앱을 완성할 수 있습니다."
128,인스타그램 릴스 & 알고리즘 공략법 : 100만 조회수 만들기,https://www.yes24.com/product/goods/184570770,서진원,이은북,2026년 04월,"16,020","17,800","2,154",9.9,121,"짧은 영상 하나가 수십만, 수백만 조회수로 이어지는 시대다. 이제 인스타그램 릴스는 단순한 콘텐츠 형식을 넘어, 개인과 브랜드의 성장을 이끄는 중요한 채널이 되었다. 하지만 많은 이들이 릴스를 꾸준히 올리면서도 왜 조회수가 오르지 않는지, 어떤 콘텐츠가 더 널리 확산되는지 정확히 알지 못한 채 시행착오를 반복한다."
129,바로바로 바이브 코딩 with 커서 AI,https://www.yes24.com/product/goods/183530330,박현규,골든래빗,2026년 04월,"27,000","30,000","3,474",10.0,11,"AI가 알아서 코딩해주는 시대, AI 능력을 얼마나 활용하고 계신가요? AI를 개발 파트너로 활용하면 단순 메일 텍스트 생성을 넘어 나만의 맞춤형 프로그램을 만들 수 있는 완전히 새로운 세상이 열립니다. 이 책은 코딩을 전혀 모르는 입문자도, 개발 생산성을 대폭 높이고 싶은 실력자도 누구나 커서 AI를 지휘하며 원하는 프로그램을 뚝딱 만들어낼 수 있도록 안내하는 바이브 코딩 맞춤형 입문서입니다."
130,옵시디언 프로페셔널 노트,https://www.yes24.com/product/goods/182134623,구요한,리코멘드,2026년 03월,"22,500","25,000","5,826",9.9,35,"옵시디언은 단순한 메모 앱이 아닙니다. 노트와 노트를 연결하고, 흩어진 정보를 유기적인 지식 네트워크로 확장하는 개인 지식 관리(PKM) 플랫폼입니다. 이 책은 옵시디언을 '도구'가 아닌 '시스템'으로 사용하고 싶은 독자를 위해 설계되었습니다."
131,맛있는 디자인 피그마 with AI,https://www.yes24.com/product/goods/179694520,이영주,한빛미디어,2026년 02월,"25,200","28,000","2,514",9.9,125,"UI/UX 디자인의 핵심 도구인 피그마를 이 책 한 권으로 제대로 배울 수 있습니다. 단순히 기능을 나열하지 않고, 실제 화면을 직접 만들어보며 디자인 시스템의 흐름을 자연스럽게 이해하도록 구성했습니다. 파운데이션 설계부터 컴포넌트 구성, 베리어블(Variables), 반응형과 모드 적용까지 최신 버전에 맞춰 실무에 바로 활용할 수 있는 구조로 정리했습니다. 여기에 피그마의 AI 기능까지 더해 반복 작업은 줄이고 더 빠르고 효율적으로 결과물을 완성하는 방법을 함께 익힐 수 있습니다."
132,AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법,https://www.yes24.com/product/goods/175525819,Dave Lee,길벗,2026년 02월,"28,800","32,000","7,356",9.6,25,"AI 코딩 도구를 처음 접하는 사람에게 가장 어려운 점은 '무엇부터 시작해야 하는지', 그리고 '어디까지 활용할 수 있는지'를 가늠하기 어렵다는 데 있습니다. 이 책은 클로드 코드(Claude Code), 코덱스 CLI(Codex CLI), 제미나이 CLI(Gemini CLI)라는 세 가지 AI 터미널 도구를 중심으로, 설치부터 실전 활용까지 전 과정을 체계적으로 정리했습니다. 환경 설정부터 막히지 않도록 설치 및 세팅 방법을 명확히 안내하고, 각 도구를 실제 작업에 바로 투입할 수 있도록 단계별로 차근차근 설명합니다."
133,무조건 도움되는 유아교사 업무경감,https://www.yes24.com/product/goods/174197933,"김나영, 남동윤, 이영은, 장효정, 최지이, 정보 더 보기/감추기, 김나영, 남동윤, 이영은, 장효정, 최지이, 황경미",교육과실천,2026년 01월,"22,950","25,500","3,063",10.0,9,"디지털 도구들을 단순히 어떻게 사용하는지 설명하는 것에 그치지 않고, 교사의 일상 속에서 업무경감으로 이어지는 구체적인 사례를 공개하는 단 한 권의 책!"
134,이게 되네? AI 쇼츠 만들기 미친 자동화 22제,https://www.yes24.com/product/goods/169665962,천은영,골든래빗,2026년 01월,"23,400","26,000","7,872",10.0,10,"『이게 되네? AI 쇼츠 만들기 미친 자동화 22제』는 코딩 지식이 전혀 없어도 콘텐츠 수집부터 수익 창출까지 모든 과정을 '딸깍' 한 번으로 완성하는 숏폼 자동화의 끝판왕 실전 가이드입니다. 이 책은 1인 창작자에게 AI와 노코드 기술을 활용하여 반복 업무에서 벗어날 수 있게 도와주고, 확장 가능한 수익 구조를 알려줍니다."
135,나는 오렌지3로 인공지능한다,https://www.yes24.com/product/goods/167452848,"장병철, 서미란, 박지훈, 정종호",씨마스,2025년 12월,"20,700","23,000","5,604",10.0,43,"클릭 몇 번으로 데이터 전처리부터 시각화, 분석까지 척척 해내는 강력한 데이터 마이닝 도구, Orange3! 데이터 분석의 기본기를 쉽고 재미있게 안내했던 『나는 오렌지로 데이터분석한다』에 이어, 이제 인공지능을 활용하여 실무 역량을 한 단계 더 업그레이드할 『나는 오렌지3로 인공지능한다』가 출간되었습니다."
136,AI 엔지니어링,https://www.yes24.com/product/goods/154925812,"칩 후옌, 변성윤",한빛미디어,2025년 09월,"36,000","40,000","14,565",9.9,17,"파운데이션 모델을 활용해 누구나 손쉽게 AI 애플리케이션을 만들 수 있는 시대가 되었습니다. 하지만 실제 프로덕트 레벨의 시스템을 구축하려면 단순한 API 호출이나 프롬프트 작성만으로는 충분하지 않습니다. 아이디어를 사용자가 만족하는 서비스로 완성하기 위해서 빠르게 변화하는 모델 환경과 기술 스택, 늘어나는 활용 가능성과 그에 따른 리스크 속에서 AI 애플리케이션을 안정적이고 효과적으로 설계하고 운영해야 합니다."
137,처음이지만 프로처럼 쓰는 노션 Notion,https://www.yes24.com/product/goods/154182485,박한용,디지털북스,2025년 09월,"22,500","25,000","7,185",10.0,40,"노션은 메모, 프로젝트 관리, 협업까지 아우르는 최고의 생산성 도구입니다. 하지만 많은 사용자가 빈 페이지 앞에서 막막함을 느끼거나, 남이 만든 템플릿에 의존하곤 합니다. 이 책은 노션 앰버서더 노션너굴의 노하우를 담아, 기초부터 데이터베이스, 자동화 템플릿까지 실전 중심으로 안내합니다."
138,기술·가정 교사가 만든 기술·가정 교사를 위한 찐 실전 챗GPT (생성형 AI (에듀테크) 기술·가정 수업 활용하기!),https://www.yes24.com/product/goods/152399336,"봉우리, 이호준, 윤지원, 김보정",광문각출판미디어,2025년 08월,"17,000","17,000","3,027",10.0,11,"이 책은 학교 현장에서 기술·가정 교과 교사들에게 필요한 AI 에듀테크를 활용한 수업 사례를 담고 있습니다. 학교 현장의 교사들은 공개 수업이나 컨설팅 장학이 아니라면 바쁜 업무로 인해 수업에서 전문성을 신장하기 어려울 상황일 때가 많고, 쉽게 수업 사례를 공유하기가 어려운 때가 많습니다. 특히 AI 디지털 교과서가 학교 현장에 들어오고 디지털 대전환이 일어나는 이 시기에 수업에서 사용할 수 있는 AI 에듀테크 기술은 다양합니다."
139,바로 배워서 바로 써먹는 바이브 코딩,https://www.yes24.com/product/goods/152079426,"박찬, 김병석, 전수연, 김지용, 구현희, 정보 더 보기/감추기, 박찬, 김병석, 전수연, 김지용, 구현희, 전채원, 홍찬우, 이상선",다빈치books,2025년 09월,"19,800","22,000","20,997",10.0,43,"바이브 코딩(Vibe Coding)은 코딩을 전혀 모르는 사람도 생성형 AI에 프롬프트(명령어)를 입력하여 코드를 작성하고 서비스 샘플을 만들어주는 도구이다. 이 책은 바이브 코딩 도구를 활용하여 수업과 학급 경영, 교사 업무의 효율성을 높이는 웹 앱 개발 사례를 소개하며, 교사들이 직접 교실의 필요를 해결하는 앱 창작자가 될 수 있도록 돕는다."
